It: 590, Loss: 3.962e-02, Loss_u: 3.327e-02, Loss_r: 6.350e-03, Time: 0.23
It: 600, Loss: 4.724e-02, Loss_u: 4.243e-02, Loss_r: 4.810e-03, Time: 0.24
It: 610, Loss: 4.901e-02, Loss_u: 4.372e-02, Loss_r: 5.285e-03, Time: 0.22
It: 620, Loss: 6.373e-02, Loss_u: 5.464e-02, Loss_r: 9.087e-03, Time: 0.23
It: 630, Loss: 3.668e-02, Loss_u: 2.856e-02, Loss_r: 8.118e-03, Time: 0.23
It: 640, Loss: 5.725e-02, Loss_u: 5.334e-02, Loss_r: 3.914e-03, Time: 0.26
It: 650, Loss: 5.210e-02, Loss_u: 4.433e-02, Loss_r: 7.769e-03, Time: 0.24
It: 660, Loss: 5.432e-02, Loss_u: 4.512e-02, Loss_r: 9.200e-03, Time: 0.24
It: 670, Loss: 5.209e-02, Loss_u: 4.787e-02, Loss_r: 4.219e-03, Time: 0.29
It: 680, Loss: 6.371e-02, Loss_u: 5.501e-02, Loss_r: 8.697e-03, Time: 0.25
It: 690, Loss: 4.635e-02, Loss_u: 4.317e-02, Loss_r: 3.186e-03, Time: 0.29
It: 700, Loss: 6.131e-02, Loss_u: 5.599e-02, Loss_r: 5.318e-03, Time: 0.35
It: 710, Loss: 5.301e-02, Loss_u: 4.768e-02, Loss_r: 5.332e-03, Time: 0.32
It: 720, Loss: 4.548e-02, Loss_u: 4.102e-02, Loss_r: 4.462e-03, Time: 0.35
It: 730, Loss: 4.771e-02, Loss_u: 4.303e-02, Loss_r: 4.676e-03, Time: 0.31
It: 740, Loss: 4.681e-02, Loss_u: 4.102e-02, Loss_r: 5.784e-03, Time: 0.30
It: 750, Loss: 3.835e-02, Loss_u: 3.421e-02, Loss_r: 4.142e-03, Time: 0.28
It: 760, Loss: 4.311e-02, Loss_u: 3.812e-02, Loss_r: 4.986e-03, Time: 0.36
It: 770, Loss: 4.187e-02, Loss_u: 3.776e-02, Loss_r: 4.117e-03, Time: 0.38
It: 780, Loss: 5.463e-02, Loss_u: 4.076e-02, Loss_r: 1.386e-02, Time: 0.28
It: 790, Loss: 3.972e-02, Loss_u: 3.633e-02, Loss_r: 3.394e-03, Time: 0.31
It: 800, Loss: 5.474e-02, Loss_u: 4.831e-02, Loss_r: 6.427e-03, Time: 0.30
It: 810, Loss: 4.897e-02, Loss_u: 4.312e-02, Loss_r: 5.852e-03, Time: 0.29
It: 820, Loss: 4.176e-02, Loss_u: 3.724e-02, Loss_r: 4.522e-03, Time: 0.32
It: 830, Loss: 5.422e-02, Loss_u: 4.962e-02, Loss_r: 4.596e-03, Time: 0.40
It: 840, Loss: 4.123e-02, Loss_u: 3.775e-02, Loss_r: 3.482e-03, Time: 0.31
It: 850, Loss: 4.128e-02, Loss_u: 3.368e-02, Loss_r: 7.606e-03, Time: 0.33
It: 860, Loss: 3.198e-02, Loss_u: 2.860e-02, Loss_r: 3.378e-03, Time: 0.26
It: 870, Loss: 4.529e-02, Loss_u: 4.007e-02, Loss_r: 5.226e-03, Time: 0.29
It: 880, Loss: 4.476e-02, Loss_u: 3.909e-02, Loss_r: 5.663e-03, Time: 0.30
It: 890, Loss: 4.243e-02, Loss_u: 3.724e-02, Loss_r: 5.184e-03, Time: 0.33
It: 900, Loss: 4.977e-02, Loss_u: 4.483e-02, Loss_r: 4.941e-03, Time: 0.28
It: 910, Loss: 5.084e-02, Loss_u: 4.504e-02, Loss_r: 5.799e-03, Time: 0.24
It: 920, Loss: 3.858e-02, Loss_u: 3.408e-02, Loss_r: 4.494e-03, Time: 0.26
It: 930, Loss: 3.589e-02, Loss_u: 3.103e-02, Loss_r: 4.856e-03, Time: 0.27
It: 940, Loss: 5.205e-02, Loss_u: 4.626e-02, Loss_r: 5.793e-03, Time: 0.28
It: 950, Loss: 4.555e-02, Loss_u: 3.887e-02, Loss_r: 6.678e-03, Time: 0.36
It: 960, Loss: 4.413e-02, Loss_u: 3.934e-02, Loss_r: 4.795e-03, Time: 0.28
It: 970, Loss: 4.536e-02, Loss_u: 4.145e-02, Loss_r: 3.919e-03, Time: 0.31
It: 980, Loss: 4.508e-02, Loss_u: 4.075e-02, Loss_r: 4.335e-03, Time: 0.29
It: 990, Loss: 5.119e-02, Loss_u: 4.808e-02, Loss_r: 3.113e-03, Time: 0.26
It: 1000, Loss: 5.380e-02, Loss_u: 4.854e-02, Loss_r: 5.263e-03, Time: 0.29
Gradients information stored ...
It: 1010, Loss: 3.745e-02, Loss_u: 3.192e-02, Loss_r: 5.536e-03, Time: 0.29
It: 1020, Loss: 4.947e-02, Loss_u: 4.495e-02, Loss_r: 4.522e-03, Time: 0.34
It: 1030, Loss: 6.220e-02, Loss_u: 5.485e-02, Loss_r: 7.349e-03, Time: 0.31
It: 1040, Loss: 4.972e-02, Loss_u: 4.586e-02, Loss_r: 3.860e-03, Time: 0.29
It: 1050, Loss: 4.197e-02, Loss_u: 3.815e-02, Loss_r: 3.813e-03, Time: 0.30
It: 1060, Loss: 3.753e-02, Loss_u: 3.288e-02, Loss_r: 4.654e-03, Time: 0.29
It: 1070, Loss: 3.365e-02, Loss_u: 2.783e-02, Loss_r: 5.823e-03, Time: 0.29
It: 1080, Loss: 3.888e-02, Loss_u: 3.394e-02, Loss_r: 4.944e-03, Time: 0.31
It: 1090, Loss: 6.778e-02, Loss_u: 6.493e-02, Loss_r: 2.849e-03, Time: 0.32
It: 1100, Loss: 4.666e-02, Loss_u: 4.037e-02, Loss_r: 6.292e-03, Time: 0.32
It: 1110, Loss: 3.868e-02, Loss_u: 3.582e-02, Loss_r: 2.866e-03, Time: 0.31
It: 1120, Loss: 3.732e-02, Loss_u: 3.350e-02, Loss_r: 3.816e-03, Time: 0.23
It: 1130, Loss: 4.854e-02, Loss_u: 4.426e-02, Loss_r: 4.282e-03, Time: 0.23
It: 1140, Loss: 5.544e-02, Loss_u: 5.089e-02, Loss_r: 4.547e-03, Time: 0.34
It: 1150, Loss: 4.325e-02, Loss_u: 3.725e-02, Loss_r: 5.997e-03, Time: 0.28
It: 1160, Loss: 3.438e-02, Loss_u: 3.026e-02, Loss_r: 4.114e-03, Time: 0.43
It: 1170, Loss: 5.077e-02, Loss_u: 4.575e-02, Loss_r: 5.015e-03, Time: 0.30
It: 1180, Loss: 4.067e-02, Loss_u: 3.631e-02, Loss_r: 4.363e-03, Time: 0.33
It: 1190, Loss: 4.188e-02, Loss_u: 3.783e-02, Loss_r: 4.047e-03, Time: 0.33
It: 1200, Loss: 5.157e-02, Loss_u: 4.851e-02, Loss_r: 3.058e-03, Time: 0.30
It: 1210, Loss: 4.923e-02, Loss_u: 4.578e-02, Loss_r: 3.451e-03, Time: 0.26
It: 1220, Loss: 4.432e-02, Loss_u: 4.142e-02, Loss_r: 2.902e-03, Time: 0.31
It: 1230, Loss: 3.301e-02, Loss_u: 2.848e-02, Loss_r: 4.523e-03, Time: 0.28
It: 1240, Loss: 4.520e-02, Loss_u: 4.125e-02, Loss_r: 3.948e-03, Time: 0.29
It: 1250, Loss: 4.216e-02, Loss_u: 3.791e-02, Loss_r: 4.249e-03, Time: 0.30
It: 1260, Loss: 4.183e-02, Loss_u: 3.648e-02, Loss_r: 5.344e-03, Time: 0.28
It: 1270, Loss: 5.169e-02, Loss_u: 4.710e-02, Loss_r: 4.586e-03, Time: 0.29
It: 1280, Loss: 4.590e-02, Loss_u: 4.168e-02, Loss_r: 4.221e-03, Time: 0.32
It: 1290, Loss: 5.030e-02, Loss_u: 4.521e-02, Loss_r: 5.088e-03, Time: 0.28
It: 1300, Loss: 5.280e-02, Loss_u: 4.708e-02, Loss_r: 5.718e-03, Time: 0.28
It: 1310, Loss: 5.795e-02, Loss_u: 5.328e-02, Loss_r: 4.665e-03, Time: 0.29
It: 1320, Loss: 3.918e-02, Loss_u: 3.475e-02, Loss_r: 4.427e-03, Time: 0.27
It: 1330, Loss: 5.788e-02, Loss_u: 5.335e-02, Loss_r: 4.531e-03, Time: 0.36
It: 1340, Loss: 4.446e-02, Loss_u: 3.826e-02, Loss_r: 6.207e-03, Time: 0.51
It: 1350, Loss: 5.446e-02, Loss_u: 4.909e-02, Loss_r: 5.371e-03, Time: 0.29
It: 1360, Loss: 5.374e-02, Loss_u: 5.044e-02, Loss_r: 3.295e-03, Time: 0.28
It: 1370, Loss: 4.183e-02, Loss_u: 3.788e-02, Loss_r: 3.950e-03, Time: 0.29
It: 1380, Loss: 4.261e-02, Loss_u: 3.581e-02, Loss_r: 6.804e-03, Time: 0.41
It: 1390, Loss: 3.208e-02, Loss_u: 2.942e-02, Loss_r: 2.666e-03, Time: 0.23
It: 1400, Loss: 3.472e-02, Loss_u: 3.141e-02, Loss_r: 3.303e-03, Time: 0.27
It: 1410, Loss: 4.547e-02, Loss_u: 4.171e-02, Loss_r: 3.755e-03, Time: 0.24
It: 1420, Loss: 4.262e-02, Loss_u: 3.818e-02, Loss_r: 4.437e-03, Time: 0.23
It: 1430, Loss: 3.493e-02, Loss_u: 3.052e-02, Loss_r: 4.410e-03, Time: 0.24
It: 1440, Loss: 4.432e-02, Loss_u: 4.107e-02, Loss_r: 3.246e-03, Time: 0.23
It: 1450, Loss: 4.968e-02, Loss_u: 4.496e-02, Loss_r: 4.718e-03, Time: 0.23
It: 1460, Loss: 3.212e-02, Loss_u: 2.813e-02, Loss_r: 3.988e-03, Time: 0.25
It: 1470, Loss: 5.052e-02, Loss_u: 4.585e-02, Loss_r: 4.671e-03, Time: 0.24
It: 1480, Loss: 4.977e-02, Loss_u: 4.696e-02, Loss_r: 2.806e-03, Time: 0.24
It: 1490, Loss: 5.403e-02, Loss_u: 4.936e-02, Loss_r: 4.667e-03, Time: 0.26
It: 1500, Loss: 6.216e-02, Loss_u: 5.514e-02, Loss_r: 7.022e-03, Time: 0.24
It: 1510, Loss: 5.026e-02, Loss_u: 4.570e-02, Loss_r: 4.560e-03, Time: 0.24
It: 1520, Loss: 3.859e-02, Loss_u: 3.490e-02, Loss_r: 3.688e-03, Time: 0.25
It: 1530, Loss: 5.323e-02, Loss_u: 4.959e-02, Loss_r: 3.646e-03, Time: 0.26
