It: 0, Loss: 8.405e+03, Loss_u: 1.117e+00, Loss_r: 8.404e+03, Time: 2.84
constant_ics_val: 57.015
constant_bcs_val: 177.441
Gradients information stored ...
It: 100, Loss: 3.413e+03, Loss_u: 1.906e+02, Loss_r: 3.222e+03, Time: 0.01
Gradients information stored ...
It: 200, Loss: 4.531e+02, Loss_u: 1.073e+02, Loss_r: 3.459e+02, Time: 0.01
It: 300, Loss: 8.496e+01, Loss_u: 1.568e+01, Loss_r: 6.928e+01, Time: 0.01
It: 400, Loss: 3.322e+01, Loss_u: 1.130e+01, Loss_r: 2.192e+01, Time: 0.01
It: 500, Loss: 2.075e+01, Loss_u: 7.882e+00, Loss_r: 1.287e+01, Time: 0.01
It: 600, Loss: 2.302e+01, Loss_u: 7.613e+00, Loss_r: 1.541e+01, Time: 0.01
It: 700, Loss: 1.839e+01, Loss_u: 5.295e+00, Loss_r: 1.309e+01, Time: 0.01
It: 800, Loss: 2.716e+01, Loss_u: 1.384e+01, Loss_r: 1.331e+01, Time: 0.01
It: 900, Loss: 8.952e+00, Loss_u: 1.802e+00, Loss_r: 7.150e+00, Time: 0.01
It: 1000, Loss: 1.019e+01, Loss_u: 3.363e+00, Loss_r: 6.827e+00, Time: 0.01
Gradients information stored ...
It: 1100, Loss: 9.044e+00, Loss_u: 1.501e+00, Loss_r: 7.543e+00, Time: 0.02
It: 1200, Loss: 9.422e+00, Loss_u: 4.188e+00, Loss_r: 5.233e+00, Time: 0.01
It: 1300, Loss: 8.621e+00, Loss_u: 3.292e+00, Loss_r: 5.330e+00, Time: 0.01
It: 1400, Loss: 6.949e+00, Loss_u: 5.164e-01, Loss_r: 6.433e+00, Time: 0.01
It: 1500, Loss: 4.439e+00, Loss_u: 6.905e-01, Loss_r: 3.748e+00, Time: 0.01
It: 1600, Loss: 4.416e+00, Loss_u: 7.053e-01, Loss_r: 3.710e+00, Time: 0.01
It: 1700, Loss: 4.295e+00, Loss_u: 1.268e+00, Loss_r: 3.027e+00, Time: 0.01
It: 1800, Loss: 3.201e+00, Loss_u: 4.982e-01, Loss_r: 2.703e+00, Time: 0.01
It: 1900, Loss: 4.955e+00, Loss_u: 6.616e-01, Loss_r: 4.293e+00, Time: 0.01
It: 2000, Loss: 2.433e+00, Loss_u: 4.938e-01, Loss_r: 1.940e+00, Time: 0.02
It: 2100, Loss: 5.296e+00, Loss_u: 2.941e+00, Loss_r: 2.355e+00, Time: 0.01
It: 2200, Loss: 1.298e+01, Loss_u: 5.218e+00, Loss_r: 7.760e+00, Time: 0.01
It: 2300, Loss: 8.237e+00, Loss_u: 2.229e+00, Loss_r: 6.008e+00, Time: 0.01
It: 2400, Loss: 2.271e+00, Loss_u: 6.152e-01, Loss_r: 1.656e+00, Time: 0.01
It: 2500, Loss: 6.531e+00, Loss_u: 2.584e-01, Loss_r: 6.273e+00, Time: 0.01
It: 2600, Loss: 2.266e+00, Loss_u: 5.481e-01, Loss_r: 1.718e+00, Time: 0.01
It: 2700, Loss: 4.944e+00, Loss_u: 8.106e-01, Loss_r: 4.134e+00, Time: 0.01
It: 2800, Loss: 6.293e+00, Loss_u: 1.209e+00, Loss_r: 5.085e+00, Time: 0.01
It: 2900, Loss: 6.613e+00, Loss_u: 5.380e-01, Loss_r: 6.075e+00, Time: 0.01
