It: 5700, Loss: 3.047e+00, Loss_u: 1.568e+00, Loss_r: 1.479e+00, Time: 0.04
It: 5800, Loss: 3.420e+00, Loss_u: 5.446e-01, Loss_r: 2.875e+00, Time: 0.04
It: 5900, Loss: 2.317e+00, Loss_u: 1.054e+00, Loss_r: 1.263e+00, Time: 0.04
It: 6000, Loss: 1.265e+00, Loss_u: 3.209e-01, Loss_r: 9.438e-01, Time: 0.04
It: 6100, Loss: 2.030e+00, Loss_u: 1.349e+00, Loss_r: 6.818e-01, Time: 0.04
It: 6200, Loss: 2.332e+00, Loss_u: 6.760e-01, Loss_r: 1.656e+00, Time: 0.04
It: 6300, Loss: 3.508e+00, Loss_u: 1.229e+00, Loss_r: 2.279e+00, Time: 0.05
It: 6400, Loss: 1.662e+00, Loss_u: 3.554e-01, Loss_r: 1.307e+00, Time: 0.04
It: 6500, Loss: 1.331e+00, Loss_u: 3.736e-01, Loss_r: 9.574e-01, Time: 0.04
It: 6600, Loss: 1.065e+00, Loss_u: 2.665e-01, Loss_r: 7.981e-01, Time: 0.04
It: 6700, Loss: 1.598e+00, Loss_u: 6.007e-01, Loss_r: 9.973e-01, Time: 0.04
It: 6800, Loss: 1.350e+00, Loss_u: 4.771e-01, Loss_r: 8.728e-01, Time: 0.04
It: 6900, Loss: 2.718e+00, Loss_u: 4.369e-01, Loss_r: 2.281e+00, Time: 0.04
It: 7000, Loss: 4.128e+00, Loss_u: 1.703e+00, Loss_r: 2.425e+00, Time: 0.04
It: 7100, Loss: 1.158e+00, Loss_u: 4.331e-01, Loss_r: 7.248e-01, Time: 0.04
It: 7200, Loss: 1.326e+00, Loss_u: 8.068e-01, Loss_r: 5.196e-01, Time: 0.04
It: 7300, Loss: 1.494e+00, Loss_u: 4.846e-01, Loss_r: 1.010e+00, Time: 0.04
It: 7400, Loss: 1.980e+00, Loss_u: 6.941e-01, Loss_r: 1.286e+00, Time: 0.04
It: 7500, Loss: 1.937e+00, Loss_u: 1.106e+00, Loss_r: 8.301e-01, Time: 0.04
It: 7600, Loss: 3.674e+00, Loss_u: 2.377e+00, Loss_r: 1.296e+00, Time: 0.04
It: 7700, Loss: 1.017e+00, Loss_u: 4.807e-01, Loss_r: 5.362e-01, Time: 0.04
It: 7800, Loss: 1.950e+00, Loss_u: 6.952e-01, Loss_r: 1.255e+00, Time: 0.04
It: 7900, Loss: 5.623e+00, Loss_u: 4.174e-01, Loss_r: 5.205e+00, Time: 0.04
It: 8000, Loss: 3.165e+00, Loss_u: 8.411e-01, Loss_r: 2.324e+00, Time: 0.04
It: 8100, Loss: 1.793e+00, Loss_u: 6.173e-01, Loss_r: 1.175e+00, Time: 0.05
It: 8200, Loss: 1.280e+00, Loss_u: 2.177e-01, Loss_r: 1.062e+00, Time: 0.04
It: 8300, Loss: 1.706e+00, Loss_u: 3.138e-01, Loss_r: 1.392e+00, Time: 0.04
It: 8400, Loss: 1.266e+00, Loss_u: 4.443e-01, Loss_r: 8.222e-01, Time: 0.04
It: 8500, Loss: 6.012e-01, Loss_u: 2.166e-01, Loss_r: 3.847e-01, Time: 0.05
It: 8600, Loss: 1.389e+00, Loss_u: 3.224e-01, Loss_r: 1.067e+00, Time: 0.04
It: 8700, Loss: 7.321e-01, Loss_u: 2.435e-01, Loss_r: 4.886e-01, Time: 0.04
It: 8800, Loss: 1.296e+00, Loss_u: 3.621e-01, Loss_r: 9.338e-01, Time: 0.04
It: 8900, Loss: 1.082e+00, Loss_u: 2.309e-01, Loss_r: 8.516e-01, Time: 0.05
It: 9000, Loss: 8.632e-01, Loss_u: 2.083e-01, Loss_r: 6.548e-01, Time: 0.04
It: 9100, Loss: 9.268e-01, Loss_u: 4.016e-01, Loss_r: 5.252e-01, Time: 0.04
It: 9200, Loss: 1.851e+00, Loss_u: 2.721e-01, Loss_r: 1.579e+00, Time: 0.04
It: 9300, Loss: 2.675e+00, Loss_u: 7.232e-01, Loss_r: 1.952e+00, Time: 0.04
It: 9400, Loss: 1.120e+00, Loss_u: 3.245e-01, Loss_r: 7.953e-01, Time: 0.04
It: 9500, Loss: 1.008e+00, Loss_u: 4.097e-01, Loss_r: 5.982e-01, Time: 0.06
It: 9600, Loss: 2.424e+00, Loss_u: 2.228e-01, Loss_r: 2.201e+00, Time: 0.04
It: 9700, Loss: 7.785e-01, Loss_u: 1.771e-01, Loss_r: 6.015e-01, Time: 0.04
It: 9800, Loss: 1.873e+00, Loss_u: 5.809e-01, Loss_r: 1.292e+00, Time: 0.04
It: 9900, Loss: 9.729e-01, Loss_u: 4.488e-01, Loss_r: 5.242e-01, Time: 0.04
It: 10000, Loss: 2.401e+00, Loss_u: 1.658e+00, Loss_r: 7.431e-01, Time: 0.04
constant_ics_val: 215.023
constant_bcs_val: 108.110
It: 10100, Loss: 8.500e-01, Loss_u: 2.849e-01, Loss_r: 5.651e-01, Time: 0.04
It: 10200, Loss: 1.503e+00, Loss_u: 8.416e-01, Loss_r: 6.618e-01, Time: 0.04
It: 10300, Loss: 6.300e-01, Loss_u: 1.708e-01, Loss_r: 4.592e-01, Time: 0.04
It: 10400, Loss: 8.507e-01, Loss_u: 1.546e-01, Loss_r: 6.960e-01, Time: 0.05
It: 10500, Loss: 1.025e+00, Loss_u: 2.429e-01, Loss_r: 7.823e-01, Time: 0.04
It: 10600, Loss: 2.948e+00, Loss_u: 1.912e+00, Loss_r: 1.036e+00, Time: 0.04
It: 10700, Loss: 1.044e+00, Loss_u: 1.464e-01, Loss_r: 8.976e-01, Time: 0.04
It: 10800, Loss: 2.450e+00, Loss_u: 1.335e-01, Loss_r: 2.316e+00, Time: 0.04
It: 10900, Loss: 1.050e+00, Loss_u: 5.259e-01, Loss_r: 5.241e-01, Time: 0.04
It: 11000, Loss: 9.057e-01, Loss_u: 4.667e-01, Loss_r: 4.391e-01, Time: 0.04
It: 11100, Loss: 6.092e-01, Loss_u: 1.646e-01, Loss_r: 4.446e-01, Time: 0.04
It: 11200, Loss: 7.044e-01, Loss_u: 2.321e-01, Loss_r: 4.723e-01, Time: 0.05
