It: 0, Loss: 5.784e+03, Loss_bcs: 1.666e-01, Loss_res: 5.784e+03,Time: 1.54
adaptive_constant_val: 9579.070776
Gradients information stored ...
It: 10, Loss: 6.012e+03, Loss_bcs: 2.201e+02, Loss_res: 5.792e+03,Time: 0.01
It: 20, Loss: 6.820e+03, Loss_bcs: 9.576e+01, Loss_res: 6.724e+03,Time: 0.01
It: 30, Loss: 6.399e+03, Loss_bcs: 2.350e+00, Loss_res: 6.397e+03,Time: 0.01
It: 40, Loss: 7.521e+03, Loss_bcs: 1.343e+01, Loss_res: 7.507e+03,Time: 0.01
It: 50, Loss: 6.577e+03, Loss_bcs: 2.464e+00, Loss_res: 6.574e+03,Time: 0.01
It: 60, Loss: 8.218e+03, Loss_bcs: 1.964e+00, Loss_res: 8.216e+03,Time: 0.01
It: 70, Loss: 6.217e+03, Loss_bcs: 4.572e-01, Loss_res: 6.217e+03,Time: 0.01
It: 80, Loss: 7.073e+03, Loss_bcs: 5.218e-01, Loss_res: 7.073e+03,Time: 0.01
It: 90, Loss: 6.958e+03, Loss_bcs: 3.072e-01, Loss_res: 6.958e+03,Time: 0.00
It: 100, Loss: 6.712e+03, Loss_bcs: 2.576e-01, Loss_res: 6.711e+03,Time: 0.01
Gradients information stored ...
It: 110, Loss: 8.054e+03, Loss_bcs: 2.047e-01, Loss_res: 8.054e+03,Time: 0.01
It: 120, Loss: 8.463e+03, Loss_bcs: 1.775e-01, Loss_res: 8.463e+03,Time: 0.00
It: 130, Loss: 6.337e+03, Loss_bcs: 1.935e-01, Loss_res: 6.337e+03,Time: 0.01
It: 140, Loss: 6.684e+03, Loss_bcs: 1.762e-01, Loss_res: 6.684e+03,Time: 0.01
It: 150, Loss: 6.144e+03, Loss_bcs: 1.655e-01, Loss_res: 6.144e+03,Time: 0.00
It: 160, Loss: 6.802e+03, Loss_bcs: 1.612e-01, Loss_res: 6.802e+03,Time: 0.01
It: 170, Loss: 6.856e+03, Loss_bcs: 1.386e-01, Loss_res: 6.856e+03,Time: 0.01
It: 180, Loss: 7.213e+03, Loss_bcs: 1.368e-01, Loss_res: 7.213e+03,Time: 0.01
It: 190, Loss: 5.217e+03, Loss_bcs: 1.213e-01, Loss_res: 5.217e+03,Time: 0.01
It: 200, Loss: 7.052e+03, Loss_bcs: 1.652e-01, Loss_res: 7.052e+03,Time: 0.00
It: 210, Loss: 7.568e+03, Loss_bcs: 1.494e-01, Loss_res: 7.568e+03,Time: 0.01
It: 220, Loss: 7.509e+03, Loss_bcs: 1.247e-01, Loss_res: 7.508e+03,Time: 0.01
It: 230, Loss: 8.476e+03, Loss_bcs: 1.452e-01, Loss_res: 8.476e+03,Time: 0.00
It: 240, Loss: 6.621e+03, Loss_bcs: 1.134e-01, Loss_res: 6.621e+03,Time: 0.01
It: 250, Loss: 7.506e+03, Loss_bcs: 1.491e-01, Loss_res: 7.506e+03,Time: 0.01
It: 260, Loss: 6.359e+03, Loss_bcs: 7.837e-02, Loss_res: 6.359e+03,Time: 0.01
It: 270, Loss: 7.011e+03, Loss_bcs: 8.412e-02, Loss_res: 7.011e+03,Time: 0.01
It: 280, Loss: 5.828e+03, Loss_bcs: 1.029e-01, Loss_res: 5.828e+03,Time: 0.01
It: 290, Loss: 8.465e+03, Loss_bcs: 9.460e-02, Loss_res: 8.465e+03,Time: 0.01
It: 300, Loss: 6.098e+03, Loss_bcs: 1.111e-01, Loss_res: 6.098e+03,Time: 0.01
It: 310, Loss: 7.664e+03, Loss_bcs: 1.268e-01, Loss_res: 7.664e+03,Time: 0.01
It: 320, Loss: 7.167e+03, Loss_bcs: 8.585e-02, Loss_res: 7.167e+03,Time: 0.01
It: 330, Loss: 6.144e+03, Loss_bcs: 8.200e-02, Loss_res: 6.144e+03,Time: 0.01
It: 340, Loss: 6.101e+03, Loss_bcs: 1.269e-01, Loss_res: 6.101e+03,Time: 0.01
It: 350, Loss: 7.824e+03, Loss_bcs: 6.747e-02, Loss_res: 7.824e+03,Time: 0.01
It: 360, Loss: 7.016e+03, Loss_bcs: 1.165e-01, Loss_res: 7.016e+03,Time: 0.01
It: 370, Loss: 8.011e+03, Loss_bcs: 1.258e-01, Loss_res: 8.011e+03,Time: 0.01
It: 380, Loss: 6.210e+03, Loss_bcs: 1.044e-01, Loss_res: 6.210e+03,Time: 0.01
It: 390, Loss: 6.643e+03, Loss_bcs: 1.337e-01, Loss_res: 6.643e+03,Time: 0.01
It: 400, Loss: 6.969e+03, Loss_bcs: 7.488e-02, Loss_res: 6.969e+03,Time: 0.01
It: 410, Loss: 6.323e+03, Loss_bcs: 1.133e-01, Loss_res: 6.322e+03,Time: 0.01
It: 420, Loss: 7.118e+03, Loss_bcs: 1.010e-01, Loss_res: 7.118e+03,Time: 0.00
It: 430, Loss: 7.251e+03, Loss_bcs: 1.346e-01, Loss_res: 7.251e+03,Time: 0.00
It: 440, Loss: 6.253e+03, Loss_bcs: 1.311e-01, Loss_res: 6.253e+03,Time: 0.01
It: 450, Loss: 7.272e+03, Loss_bcs: 1.660e-01, Loss_res: 7.272e+03,Time: 0.00
It: 460, Loss: 5.485e+03, Loss_bcs: 1.125e-01, Loss_res: 5.484e+03,Time: 0.00
It: 470, Loss: 7.662e+03, Loss_bcs: 8.183e-02, Loss_res: 7.662e+03,Time: 0.01
It: 480, Loss: 6.948e+03, Loss_bcs: 9.435e-02, Loss_res: 6.948e+03,Time: 0.00
It: 490, Loss: 6.072e+03, Loss_bcs: 9.742e-02, Loss_res: 6.072e+03,Time: 0.01
It: 500, Loss: 6.834e+03, Loss_bcs: 6.307e-02, Loss_res: 6.834e+03,Time: 0.01
It: 510, Loss: 8.306e+03, Loss_bcs: 7.838e-02, Loss_res: 8.306e+03,Time: 0.01
It: 520, Loss: 6.723e+03, Loss_bcs: 7.975e-02, Loss_res: 6.723e+03,Time: 0.01
It: 530, Loss: 6.349e+03, Loss_bcs: 1.436e-01, Loss_res: 6.349e+03,Time: 0.01
It: 540, Loss: 6.887e+03, Loss_bcs: 1.040e-01, Loss_res: 6.887e+03,Time: 0.01
It: 550, Loss: 6.967e+03, Loss_bcs: 1.302e-01, Loss_res: 6.967e+03,Time: 0.00
It: 560, Loss: 5.674e+03, Loss_bcs: 1.646e-01, Loss_res: 5.674e+03,Time: 0.00
It: 570, Loss: 6.777e+03, Loss_bcs: 1.193e-01, Loss_res: 6.777e+03,Time: 0.01
