Gradients information stored ...
It: 10, Loss: 6.194e-01, Loss_u: 3.823e-01, Loss_r: 2.371e-01, Time: 0.19
It: 20, Loss: 3.070e-01, Loss_u: 2.210e-01, Loss_r: 8.602e-02, Time: 0.11
It: 30, Loss: 1.922e-01, Loss_u: 1.693e-01, Loss_r: 2.284e-02, Time: 0.11
It: 40, Loss: 1.784e-01, Loss_u: 1.597e-01, Loss_r: 1.871e-02, Time: 0.10
It: 50, Loss: 1.574e-01, Loss_u: 1.465e-01, Loss_r: 1.086e-02, Time: 0.15
It: 60, Loss: 1.502e-01, Loss_u: 1.440e-01, Loss_r: 6.136e-03, Time: 0.16
It: 70, Loss: 1.439e-01, Loss_u: 1.356e-01, Loss_r: 8.281e-03, Time: 0.06
It: 80, Loss: 1.338e-01, Loss_u: 1.280e-01, Loss_r: 5.831e-03, Time: 0.08
It: 90, Loss: 1.222e-01, Loss_u: 1.176e-01, Loss_r: 4.546e-03, Time: 0.06
It: 100, Loss: 1.163e-01, Loss_u: 1.117e-01, Loss_r: 4.539e-03, Time: 0.07
