It: 0, Loss: 6.728e+03, Loss_bcs: 8.538e-01, Loss_res: 6.727e+03,Time: 1.51
adaptive_constant_val: 1362.645262
Gradients information stored ...
It: 100, Loss: 5.766e+03, Loss_bcs: 1.815e-01, Loss_res: 5.766e+03,Time: 0.01
Gradients information stored ...
It: 200, Loss: 6.634e+03, Loss_bcs: 1.611e-01, Loss_res: 6.634e+03,Time: 0.01
It: 300, Loss: 8.340e+03, Loss_bcs: 1.378e-01, Loss_res: 8.340e+03,Time: 0.01
It: 400, Loss: 6.260e+03, Loss_bcs: 2.321e-01, Loss_res: 6.259e+03,Time: 0.01
It: 500, Loss: 5.430e+03, Loss_bcs: 3.206e-01, Loss_res: 5.430e+03,Time: 0.01
It: 600, Loss: 6.071e+03, Loss_bcs: 7.684e-01, Loss_res: 6.070e+03,Time: 0.01
It: 700, Loss: 6.336e+03, Loss_bcs: 1.173e+00, Loss_res: 6.335e+03,Time: 0.01
It: 800, Loss: 7.439e+03, Loss_bcs: 1.777e+00, Loss_res: 7.437e+03,Time: 0.01
It: 900, Loss: 7.574e+03, Loss_bcs: 2.168e+00, Loss_res: 7.572e+03,Time: 0.01
It: 1000, Loss: 5.824e+03, Loss_bcs: 2.865e+00, Loss_res: 5.821e+03,Time: 0.01
Gradients information stored ...
It: 1100, Loss: 6.744e+03, Loss_bcs: 3.984e+00, Loss_res: 6.740e+03,Time: 0.01
It: 1200, Loss: 6.662e+03, Loss_bcs: 3.582e+00, Loss_res: 6.659e+03,Time: 0.01
It: 1300, Loss: 6.559e+03, Loss_bcs: 4.196e+00, Loss_res: 6.555e+03,Time: 0.01
It: 1400, Loss: 6.981e+03, Loss_bcs: 3.726e+00, Loss_res: 6.977e+03,Time: 0.01
It: 1500, Loss: 5.234e+03, Loss_bcs: 5.201e+00, Loss_res: 5.229e+03,Time: 0.01
It: 1600, Loss: 6.358e+03, Loss_bcs: 6.104e+00, Loss_res: 6.352e+03,Time: 0.01
It: 1700, Loss: 7.054e+03, Loss_bcs: 6.165e+00, Loss_res: 7.048e+03,Time: 0.01
It: 1800, Loss: 8.635e+03, Loss_bcs: 3.582e+00, Loss_res: 8.631e+03,Time: 0.01
It: 1900, Loss: 6.779e+03, Loss_bcs: 3.930e+00, Loss_res: 6.775e+03,Time: 0.01
It: 2000, Loss: 5.815e+03, Loss_bcs: 3.233e+01, Loss_res: 5.783e+03,Time: 0.01
It: 2100, Loss: 6.001e+03, Loss_bcs: 7.078e+01, Loss_res: 5.930e+03,Time: 0.01
It: 2200, Loss: 5.960e+03, Loss_bcs: 1.120e+02, Loss_res: 5.848e+03,Time: 0.01
It: 2300, Loss: 4.952e+03, Loss_bcs: 1.369e+02, Loss_res: 4.815e+03,Time: 0.01
It: 2400, Loss: 5.116e+03, Loss_bcs: 1.181e+02, Loss_res: 4.997e+03,Time: 0.01
It: 2500, Loss: 2.972e+03, Loss_bcs: 1.049e+02, Loss_res: 2.867e+03,Time: 0.01
It: 2600, Loss: 2.662e+03, Loss_bcs: 6.578e+01, Loss_res: 2.596e+03,Time: 0.01
It: 2700, Loss: 2.407e+03, Loss_bcs: 4.647e+01, Loss_res: 2.361e+03,Time: 0.01
It: 2800, Loss: 2.415e+03, Loss_bcs: 5.564e+01, Loss_res: 2.360e+03,Time: 0.01
It: 2900, Loss: 2.209e+03, Loss_bcs: 6.017e+01, Loss_res: 2.149e+03,Time: 0.01
It: 3000, Loss: 3.081e+03, Loss_bcs: 6.087e+01, Loss_res: 3.020e+03,Time: 0.01
It: 3100, Loss: 1.995e+03, Loss_bcs: 5.027e+01, Loss_res: 1.945e+03,Time: 0.01
It: 3200, Loss: 1.380e+03, Loss_bcs: 6.216e+01, Loss_res: 1.317e+03,Time: 0.01
It: 3300, Loss: 1.881e+03, Loss_bcs: 5.929e+01, Loss_res: 1.822e+03,Time: 0.01
It: 3400, Loss: 2.071e+03, Loss_bcs: 6.339e+01, Loss_res: 2.008e+03,Time: 0.01
