It: 5600, Loss: 6.759e+00, Loss_bcs: 1.936e+00, Loss_res: 4.823e+00,Time: 0.02
It: 5700, Loss: 7.329e+00, Loss_bcs: 2.284e+00, Loss_res: 5.045e+00,Time: 0.02
It: 5800, Loss: 4.712e+00, Loss_bcs: 1.753e+00, Loss_res: 2.958e+00,Time: 0.02
It: 5900, Loss: 6.285e+00, Loss_bcs: 1.610e+00, Loss_res: 4.675e+00,Time: 0.02
It: 6000, Loss: 6.003e+00, Loss_bcs: 1.540e+00, Loss_res: 4.463e+00,Time: 0.01
It: 6100, Loss: 3.988e+00, Loss_bcs: 1.454e+00, Loss_res: 2.533e+00,Time: 0.02
It: 6200, Loss: 5.886e+00, Loss_bcs: 1.495e+00, Loss_res: 4.391e+00,Time: 0.02
It: 6300, Loss: 4.155e+00, Loss_bcs: 1.271e+00, Loss_res: 2.885e+00,Time: 0.06
It: 6400, Loss: 4.133e+00, Loss_bcs: 1.141e+00, Loss_res: 2.992e+00,Time: 0.02
It: 6500, Loss: 4.123e+00, Loss_bcs: 9.526e-01, Loss_res: 3.171e+00,Time: 0.02
It: 6600, Loss: 5.629e+00, Loss_bcs: 1.064e+00, Loss_res: 4.565e+00,Time: 0.02
It: 6700, Loss: 4.830e+00, Loss_bcs: 1.189e+00, Loss_res: 3.641e+00,Time: 0.02
It: 6800, Loss: 3.941e+00, Loss_bcs: 9.416e-01, Loss_res: 2.999e+00,Time: 0.02
It: 6900, Loss: 4.166e+00, Loss_bcs: 1.133e+00, Loss_res: 3.033e+00,Time: 0.02
It: 7000, Loss: 4.485e+00, Loss_bcs: 1.048e+00, Loss_res: 3.437e+00,Time: 0.02
It: 7100, Loss: 4.050e+00, Loss_bcs: 8.247e-01, Loss_res: 3.225e+00,Time: 0.02
It: 7200, Loss: 6.904e+00, Loss_bcs: 9.356e-01, Loss_res: 5.969e+00,Time: 0.02
It: 7300, Loss: 2.867e+00, Loss_bcs: 6.796e-01, Loss_res: 2.187e+00,Time: 0.02
It: 7400, Loss: 4.281e+00, Loss_bcs: 8.103e-01, Loss_res: 3.470e+00,Time: 0.02
It: 7500, Loss: 3.901e+00, Loss_bcs: 8.066e-01, Loss_res: 3.094e+00,Time: 0.02
It: 7600, Loss: 4.023e+00, Loss_bcs: 7.312e-01, Loss_res: 3.292e+00,Time: 0.02
It: 7700, Loss: 3.501e+00, Loss_bcs: 8.440e-01, Loss_res: 2.657e+00,Time: 0.02
It: 7800, Loss: 2.996e+00, Loss_bcs: 6.401e-01, Loss_res: 2.356e+00,Time: 0.02
It: 7900, Loss: 2.967e+00, Loss_bcs: 6.739e-01, Loss_res: 2.294e+00,Time: 0.02
It: 8000, Loss: 3.023e+00, Loss_bcs: 5.705e-01, Loss_res: 2.453e+00,Time: 0.02
It: 8100, Loss: 4.123e+00, Loss_bcs: 7.871e-01, Loss_res: 3.336e+00,Time: 0.02
It: 8200, Loss: 2.389e+00, Loss_bcs: 6.018e-01, Loss_res: 1.787e+00,Time: 0.02
It: 8300, Loss: 2.826e+00, Loss_bcs: 5.998e-01, Loss_res: 2.226e+00,Time: 0.02
It: 8400, Loss: 2.283e+00, Loss_bcs: 6.047e-01, Loss_res: 1.678e+00,Time: 0.02
It: 8500, Loss: 3.435e+00, Loss_bcs: 6.649e-01, Loss_res: 2.770e+00,Time: 0.02
It: 8600, Loss: 2.114e+00, Loss_bcs: 6.201e-01, Loss_res: 1.494e+00,Time: 0.02
It: 8700, Loss: 2.779e+00, Loss_bcs: 5.944e-01, Loss_res: 2.185e+00,Time: 0.02
It: 8800, Loss: 1.989e+00, Loss_bcs: 4.792e-01, Loss_res: 1.510e+00,Time: 0.02
It: 8900, Loss: 2.500e+00, Loss_bcs: 5.489e-01, Loss_res: 1.951e+00,Time: 0.02
It: 9000, Loss: 2.338e+00, Loss_bcs: 5.590e-01, Loss_res: 1.779e+00,Time: 0.02
It: 9100, Loss: 3.907e+00, Loss_bcs: 6.221e-01, Loss_res: 3.285e+00,Time: 0.02
It: 9200, Loss: 2.469e+00, Loss_bcs: 4.940e-01, Loss_res: 1.975e+00,Time: 0.02
It: 9300, Loss: 2.368e+00, Loss_bcs: 5.095e-01, Loss_res: 1.859e+00,Time: 0.02
It: 9400, Loss: 2.172e+00, Loss_bcs: 5.483e-01, Loss_res: 1.624e+00,Time: 0.02
It: 9500, Loss: 4.177e+00, Loss_bcs: 4.547e-01, Loss_res: 3.722e+00,Time: 0.02
It: 9600, Loss: 1.750e+00, Loss_bcs: 5.296e-01, Loss_res: 1.221e+00,Time: 0.02
It: 9700, Loss: 2.058e+00, Loss_bcs: 4.243e-01, Loss_res: 1.633e+00,Time: 0.02
It: 9800, Loss: 2.738e+00, Loss_bcs: 4.775e-01, Loss_res: 2.261e+00,Time: 0.02
It: 9900, Loss: 4.822e+00, Loss_bcs: 4.173e-01, Loss_res: 4.405e+00,Time: 0.02
It: 10000, Loss: 1.727e+00, Loss_bcs: 5.521e-01, Loss_res: 1.175e+00,Time: 0.02
adaptive_constant_val: 46.411312
It: 10100, Loss: 2.469e+00, Loss_bcs: 5.305e-01, Loss_res: 1.939e+00,Time: 0.02
It: 10200, Loss: 2.175e+00, Loss_bcs: 3.861e-01, Loss_res: 1.789e+00,Time: 0.02
It: 10300, Loss: 1.524e+00, Loss_bcs: 4.231e-01, Loss_res: 1.101e+00,Time: 0.02
It: 10400, Loss: 2.300e+00, Loss_bcs: 5.482e-01, Loss_res: 1.751e+00,Time: 0.02
It: 10500, Loss: 2.611e+00, Loss_bcs: 5.051e-01, Loss_res: 2.106e+00,Time: 0.02
It: 10600, Loss: 2.256e+00, Loss_bcs: 4.696e-01, Loss_res: 1.787e+00,Time: 0.02
It: 10700, Loss: 3.193e+00, Loss_bcs: 4.653e-01, Loss_res: 2.728e+00,Time: 0.02
It: 10800, Loss: 1.707e+00, Loss_bcs: 4.534e-01, Loss_res: 1.253e+00,Time: 0.02
It: 10900, Loss: 2.060e+00, Loss_bcs: 3.378e-01, Loss_res: 1.722e+00,Time: 0.02
It: 11000, Loss: 2.328e+00, Loss_bcs: 4.816e-01, Loss_res: 1.847e+00,Time: 0.02
It: 11100, Loss: 2.302e+00, Loss_bcs: 3.017e-01, Loss_res: 2.000e+00,Time: 0.02
It: 11200, Loss: 1.628e+00, Loss_bcs: 3.804e-01, Loss_res: 1.247e+00,Time: 0.02
It: 11300, Loss: 3.055e+00, Loss_bcs: 4.252e-01, Loss_res: 2.630e+00,Time: 0.02
It: 11400, Loss: 1.890e+00, Loss_bcs: 4.492e-01, Loss_res: 1.441e+00,Time: 0.02
It: 11500, Loss: 2.529e+00, Loss_bcs: 3.653e-01, Loss_res: 2.164e+00,Time: 0.02
It: 11600, Loss: 1.839e+00, Loss_bcs: 3.845e-01, Loss_res: 1.455e+00,Time: 0.03
It: 11700, Loss: 1.656e+00, Loss_bcs: 4.364e-01, Loss_res: 1.220e+00,Time: 0.02
It: 11800, Loss: 1.631e+00, Loss_bcs: 4.051e-01, Loss_res: 1.226e+00,Time: 0.01
It: 11900, Loss: 1.653e+00, Loss_bcs: 2.730e-01, Loss_res: 1.380e+00,Time: 0.02
It: 12000, Loss: 1.537e+00, Loss_bcs: 3.775e-01, Loss_res: 1.160e+00,Time: 0.02
It: 12100, Loss: 1.816e+00, Loss_bcs: 3.680e-01, Loss_res: 1.448e+00,Time: 0.02
It: 12200, Loss: 1.799e+00, Loss_bcs: 3.614e-01, Loss_res: 1.438e+00,Time: 0.02
It: 12300, Loss: 2.901e+00, Loss_bcs: 4.511e-01, Loss_res: 2.450e+00,Time: 0.02
It: 12400, Loss: 2.339e+00, Loss_bcs: 3.631e-01, Loss_res: 1.976e+00,Time: 0.02
It: 12500, Loss: 1.901e+00, Loss_bcs: 4.097e-01, Loss_res: 1.491e+00,Time: 0.02
It: 12600, Loss: 1.408e+00, Loss_bcs: 4.051e-01, Loss_res: 1.003e+00,Time: 0.02
It: 12700, Loss: 1.417e+00, Loss_bcs: 3.546e-01, Loss_res: 1.062e+00,Time: 0.02
It: 12800, Loss: 1.410e+00, Loss_bcs: 3.150e-01, Loss_res: 1.095e+00,Time: 0.02
It: 12900, Loss: 1.665e+00, Loss_bcs: 3.932e-01, Loss_res: 1.271e+00,Time: 0.02
It: 13000, Loss: 1.973e+00, Loss_bcs: 3.490e-01, Loss_res: 1.624e+00,Time: 0.02
It: 13100, Loss: 1.778e+00, Loss_bcs: 2.972e-01, Loss_res: 1.481e+00,Time: 0.02
It: 13200, Loss: 2.024e+00, Loss_bcs: 3.865e-01, Loss_res: 1.637e+00,Time: 0.02
It: 13300, Loss: 1.313e+00, Loss_bcs: 3.286e-01, Loss_res: 9.845e-01,Time: 0.02
It: 13400, Loss: 1.341e+00, Loss_bcs: 3.027e-01, Loss_res: 1.039e+00,Time: 0.02
It: 13500, Loss: 1.119e+00, Loss_bcs: 2.921e-01, Loss_res: 8.267e-01,Time: 0.02
It: 13600, Loss: 1.542e+00, Loss_bcs: 3.076e-01, Loss_res: 1.234e+00,Time: 0.02
It: 13700, Loss: 1.185e+00, Loss_bcs: 3.066e-01, Loss_res: 8.788e-01,Time: 0.02
It: 13800, Loss: 1.890e+00, Loss_bcs: 3.157e-01, Loss_res: 1.574e+00,Time: 0.01
It: 13900, Loss: 1.171e+00, Loss_bcs: 3.049e-01, Loss_res: 8.662e-01,Time: 0.02
It: 14000, Loss: 1.439e+00, Loss_bcs: 3.590e-01, Loss_res: 1.080e+00,Time: 0.02
It: 14100, Loss: 1.290e+00, Loss_bcs: 2.321e-01, Loss_res: 1.058e+00,Time: 0.02
It: 14200, Loss: 1.531e+00, Loss_bcs: 2.541e-01, Loss_res: 1.276e+00,Time: 0.02
It: 14300, Loss: 1.113e+00, Loss_bcs: 2.575e-01, Loss_res: 8.558e-01,Time: 0.02
It: 14400, Loss: 1.195e+00, Loss_bcs: 3.082e-01, Loss_res: 8.865e-01,Time: 0.02
It: 14500, Loss: 1.379e+00, Loss_bcs: 2.398e-01, Loss_res: 1.139e+00,Time: 0.02
It: 14600, Loss: 2.200e+00, Loss_bcs: 3.270e-01, Loss_res: 1.873e+00,Time: 0.02
It: 14700, Loss: 1.654e+00, Loss_bcs: 2.486e-01, Loss_res: 1.405e+00,Time: 0.02
It: 14800, Loss: 1.764e+00, Loss_bcs: 2.455e-01, Loss_res: 1.518e+00,Time: 0.02
It: 14900, Loss: 1.570e+00, Loss_bcs: 3.210e-01, Loss_res: 1.249e+00,Time: 0.02
It: 15000, Loss: 1.038e+00, Loss_bcs: 2.419e-01, Loss_res: 7.959e-01,Time: 0.02
adaptive_constant_val: 50.012190
It: 15100, Loss: 1.060e+00, Loss_bcs: 2.832e-01, Loss_res: 7.772e-01,Time: 0.02
It: 15200, Loss: 2.370e+00, Loss_bcs: 2.442e-01, Loss_res: 2.126e+00,Time: 0.01
It: 15300, Loss: 1.011e+00, Loss_bcs: 3.254e-01, Loss_res: 6.854e-01,Time: 0.02
It: 15400, Loss: 9.273e-01, Loss_bcs: 2.588e-01, Loss_res: 6.685e-01,Time: 0.05
It: 15500, Loss: 1.049e+00, Loss_bcs: 3.202e-01, Loss_res: 7.284e-01,Time: 0.02
It: 15600, Loss: 1.321e+00, Loss_bcs: 2.911e-01, Loss_res: 1.030e+00,Time: 0.02
It: 15700, Loss: 2.289e+00, Loss_bcs: 2.682e-01, Loss_res: 2.021e+00,Time: 0.02
It: 15800, Loss: 1.532e+00, Loss_bcs: 2.613e-01, Loss_res: 1.271e+00,Time: 0.02
It: 15900, Loss: 1.129e+00, Loss_bcs: 3.034e-01, Loss_res: 8.256e-01,Time: 0.02
It: 16000, Loss: 1.166e+00, Loss_bcs: 2.934e-01, Loss_res: 8.725e-01,Time: 0.02
It: 16100, Loss: 8.195e-01, Loss_bcs: 2.399e-01, Loss_res: 5.797e-01,Time: 0.02
It: 16200, Loss: 1.601e+00, Loss_bcs: 2.851e-01, Loss_res: 1.316e+00,Time: 0.02
It: 16300, Loss: 1.035e+00, Loss_bcs: 2.643e-01, Loss_res: 7.706e-01,Time: 0.02
It: 16400, Loss: 1.521e+00, Loss_bcs: 2.419e-01, Loss_res: 1.279e+00,Time: 0.02
It: 16500, Loss: 1.319e+00, Loss_bcs: 2.649e-01, Loss_res: 1.054e+00,Time: 0.02
It: 16600, Loss: 1.175e+00, Loss_bcs: 2.085e-01, Loss_res: 9.664e-01,Time: 0.02
It: 16700, Loss: 8.730e-01, Loss_bcs: 2.315e-01, Loss_res: 6.415e-01,Time: 0.02
It: 16800, Loss: 1.665e+00, Loss_bcs: 2.467e-01, Loss_res: 1.419e+00,Time: 0.02
