It: 590, Loss: 6.591e-02, Loss_u: 5.949e-02, Loss_r: 6.427e-03, Time: 0.07
It: 600, Loss: 6.705e-02, Loss_u: 6.151e-02, Loss_r: 5.539e-03, Time: 0.07
It: 610, Loss: 4.914e-02, Loss_u: 4.375e-02, Loss_r: 5.392e-03, Time: 0.06
It: 620, Loss: 6.067e-02, Loss_u: 5.511e-02, Loss_r: 5.561e-03, Time: 0.06
It: 630, Loss: 4.489e-02, Loss_u: 3.934e-02, Loss_r: 5.547e-03, Time: 0.06
It: 640, Loss: 4.187e-02, Loss_u: 3.611e-02, Loss_r: 5.763e-03, Time: 0.06
It: 650, Loss: 4.447e-02, Loss_u: 4.056e-02, Loss_r: 3.905e-03, Time: 0.06
It: 660, Loss: 5.174e-02, Loss_u: 4.644e-02, Loss_r: 5.292e-03, Time: 0.05
It: 670, Loss: 4.483e-02, Loss_u: 4.008e-02, Loss_r: 4.758e-03, Time: 0.06
It: 680, Loss: 5.844e-02, Loss_u: 5.251e-02, Loss_r: 5.932e-03, Time: 0.05
It: 690, Loss: 6.015e-02, Loss_u: 5.116e-02, Loss_r: 8.992e-03, Time: 0.05
It: 700, Loss: 5.499e-02, Loss_u: 4.779e-02, Loss_r: 7.207e-03, Time: 0.05
It: 710, Loss: 5.110e-02, Loss_u: 4.806e-02, Loss_r: 3.037e-03, Time: 0.05
It: 720, Loss: 4.664e-02, Loss_u: 3.774e-02, Loss_r: 8.896e-03, Time: 0.05
It: 730, Loss: 7.747e-02, Loss_u: 7.283e-02, Loss_r: 4.648e-03, Time: 0.05
It: 740, Loss: 7.353e-02, Loss_u: 6.705e-02, Loss_r: 6.482e-03, Time: 0.05
It: 750, Loss: 7.322e-02, Loss_u: 6.978e-02, Loss_r: 3.440e-03, Time: 0.05
It: 760, Loss: 5.743e-02, Loss_u: 5.350e-02, Loss_r: 3.920e-03, Time: 0.06
It: 770, Loss: 4.492e-02, Loss_u: 3.919e-02, Loss_r: 5.735e-03, Time: 0.05
It: 780, Loss: 5.178e-02, Loss_u: 4.704e-02, Loss_r: 4.738e-03, Time: 0.06
It: 790, Loss: 4.963e-02, Loss_u: 4.428e-02, Loss_r: 5.343e-03, Time: 0.05
It: 800, Loss: 5.665e-02, Loss_u: 5.092e-02, Loss_r: 5.736e-03, Time: 0.06
It: 810, Loss: 4.975e-02, Loss_u: 4.404e-02, Loss_r: 5.712e-03, Time: 0.05
It: 820, Loss: 5.004e-02, Loss_u: 4.259e-02, Loss_r: 7.447e-03, Time: 0.05
It: 830, Loss: 4.311e-02, Loss_u: 3.723e-02, Loss_r: 5.874e-03, Time: 0.05
It: 840, Loss: 5.788e-02, Loss_u: 5.195e-02, Loss_r: 5.931e-03, Time: 0.07
It: 850, Loss: 4.320e-02, Loss_u: 3.845e-02, Loss_r: 4.753e-03, Time: 0.05
It: 860, Loss: 5.250e-02, Loss_u: 4.609e-02, Loss_r: 6.405e-03, Time: 0.05
It: 870, Loss: 5.467e-02, Loss_u: 5.078e-02, Loss_r: 3.895e-03, Time: 0.05
It: 880, Loss: 4.651e-02, Loss_u: 3.965e-02, Loss_r: 6.862e-03, Time: 0.05
It: 890, Loss: 5.002e-02, Loss_u: 4.632e-02, Loss_r: 3.704e-03, Time: 0.05
