It: 0, Loss: 1.300e+00, Loss_u: 8.354e-01, Loss_r: 4.649e-01, Time: 15.63
constant_bcs_val: 2.237
Gradients information stored ...
It: 10, Loss: 1.016e+00, Loss_u: 8.427e-01, Loss_r: 1.734e-01, Time: 0.06
It: 20, Loss: 5.642e-01, Loss_u: 4.485e-01, Loss_r: 1.158e-01, Time: 0.06
It: 30, Loss: 3.855e-01, Loss_u: 3.444e-01, Loss_r: 4.116e-02, Time: 0.07
It: 40, Loss: 3.053e-01, Loss_u: 2.812e-01, Loss_r: 2.408e-02, Time: 0.06
It: 50, Loss: 2.802e-01, Loss_u: 2.641e-01, Loss_r: 1.603e-02, Time: 0.07
It: 60, Loss: 2.698e-01, Loss_u: 2.556e-01, Loss_r: 1.424e-02, Time: 0.07
It: 70, Loss: 2.634e-01, Loss_u: 2.509e-01, Loss_r: 1.254e-02, Time: 0.07
It: 80, Loss: 2.082e-01, Loss_u: 1.960e-01, Loss_r: 1.218e-02, Time: 0.06
It: 90, Loss: 2.296e-01, Loss_u: 2.201e-01, Loss_r: 9.483e-03, Time: 0.05
It: 100, Loss: 2.323e-01, Loss_u: 2.212e-01, Loss_r: 1.104e-02, Time: 0.05
Gradients information stored ...
It: 110, Loss: 2.406e-01, Loss_u: 2.281e-01, Loss_r: 1.241e-02, Time: 0.08
It: 120, Loss: 2.398e-01, Loss_u: 2.292e-01, Loss_r: 1.055e-02, Time: 0.10
It: 130, Loss: 2.130e-01, Loss_u: 2.046e-01, Loss_r: 8.444e-03, Time: 0.07
It: 140, Loss: 1.678e-01, Loss_u: 1.545e-01, Loss_r: 1.337e-02, Time: 0.07
It: 150, Loss: 1.803e-01, Loss_u: 1.723e-01, Loss_r: 7.987e-03, Time: 0.06
It: 160, Loss: 1.768e-01, Loss_u: 1.660e-01, Loss_r: 1.075e-02, Time: 0.06
It: 170, Loss: 1.323e-01, Loss_u: 1.202e-01, Loss_r: 1.206e-02, Time: 0.09
It: 180, Loss: 1.483e-01, Loss_u: 1.333e-01, Loss_r: 1.500e-02, Time: 0.08
It: 190, Loss: 1.375e-01, Loss_u: 1.254e-01, Loss_r: 1.207e-02, Time: 0.07
It: 200, Loss: 1.144e-01, Loss_u: 1.052e-01, Loss_r: 9.161e-03, Time: 0.06
