It: 5700, Loss: 2.176e+00, Loss_u: 4.890e-01, Loss_r: 1.687e+00, Time: 0.05
It: 5800, Loss: 1.539e+00, Loss_u: 7.767e-01, Loss_r: 7.621e-01, Time: 0.04
It: 5900, Loss: 4.606e+00, Loss_u: 7.045e-01, Loss_r: 3.902e+00, Time: 0.04
It: 6000, Loss: 5.690e+00, Loss_u: 3.444e+00, Loss_r: 2.246e+00, Time: 0.04
It: 6100, Loss: 9.392e-01, Loss_u: 2.643e-01, Loss_r: 6.749e-01, Time: 0.04
It: 6200, Loss: 1.766e+00, Loss_u: 2.085e-01, Loss_r: 1.557e+00, Time: 0.04
It: 6300, Loss: 1.555e+00, Loss_u: 1.698e-01, Loss_r: 1.386e+00, Time: 0.04
It: 6400, Loss: 6.216e-01, Loss_u: 1.394e-01, Loss_r: 4.822e-01, Time: 0.04
It: 6500, Loss: 1.740e+00, Loss_u: 1.239e-01, Loss_r: 1.617e+00, Time: 0.04
It: 6600, Loss: 1.015e+00, Loss_u: 1.948e-01, Loss_r: 8.203e-01, Time: 0.05
It: 6700, Loss: 3.011e+00, Loss_u: 5.460e-01, Loss_r: 2.465e+00, Time: 0.04
It: 6800, Loss: 1.926e+00, Loss_u: 1.422e-01, Loss_r: 1.784e+00, Time: 0.04
It: 6900, Loss: 1.945e+00, Loss_u: 2.453e-01, Loss_r: 1.700e+00, Time: 0.04
It: 7000, Loss: 1.137e+00, Loss_u: 2.602e-01, Loss_r: 8.772e-01, Time: 0.04
It: 7100, Loss: 7.907e+00, Loss_u: 4.515e+00, Loss_r: 3.393e+00, Time: 0.04
It: 7200, Loss: 2.652e+00, Loss_u: 5.033e-01, Loss_r: 2.148e+00, Time: 0.04
It: 7300, Loss: 1.280e+00, Loss_u: 2.507e-01, Loss_r: 1.030e+00, Time: 0.04
It: 7400, Loss: 2.386e+00, Loss_u: 1.636e+00, Loss_r: 7.500e-01, Time: 0.04
It: 7500, Loss: 6.798e-01, Loss_u: 1.150e-01, Loss_r: 5.648e-01, Time: 0.04
It: 7600, Loss: 1.321e+00, Loss_u: 4.478e-01, Loss_r: 8.729e-01, Time: 0.04
It: 7700, Loss: 4.701e-01, Loss_u: 1.255e-01, Loss_r: 3.446e-01, Time: 0.04
It: 7800, Loss: 1.691e+00, Loss_u: 2.149e-01, Loss_r: 1.476e+00, Time: 0.05
It: 7900, Loss: 2.582e+00, Loss_u: 1.788e+00, Loss_r: 7.941e-01, Time: 0.05
It: 8000, Loss: 6.376e-01, Loss_u: 1.014e-01, Loss_r: 5.362e-01, Time: 0.04
It: 8100, Loss: 1.359e+00, Loss_u: 1.237e-01, Loss_r: 1.236e+00, Time: 0.04
It: 8200, Loss: 1.466e+00, Loss_u: 6.082e-01, Loss_r: 8.573e-01, Time: 0.04
It: 8300, Loss: 9.055e-01, Loss_u: 1.851e-01, Loss_r: 7.204e-01, Time: 0.04
It: 8400, Loss: 1.805e+00, Loss_u: 6.064e-01, Loss_r: 1.198e+00, Time: 0.04
It: 8500, Loss: 1.307e+00, Loss_u: 1.724e-01, Loss_r: 1.134e+00, Time: 0.04
It: 8600, Loss: 1.647e+00, Loss_u: 2.407e-01, Loss_r: 1.407e+00, Time: 0.05
It: 8700, Loss: 4.877e-01, Loss_u: 6.342e-02, Loss_r: 4.243e-01, Time: 0.04
It: 8800, Loss: 7.536e-01, Loss_u: 4.913e-02, Loss_r: 7.045e-01, Time: 0.04
It: 8900, Loss: 5.093e-01, Loss_u: 8.835e-02, Loss_r: 4.209e-01, Time: 0.04
It: 9000, Loss: 6.646e-01, Loss_u: 6.605e-02, Loss_r: 5.986e-01, Time: 0.04
It: 9100, Loss: 4.203e-01, Loss_u: 7.618e-02, Loss_r: 3.441e-01, Time: 0.04
It: 9200, Loss: 1.616e+00, Loss_u: 6.630e-01, Loss_r: 9.526e-01, Time: 0.04
It: 9300, Loss: 3.000e+00, Loss_u: 8.455e-01, Loss_r: 2.155e+00, Time: 0.04
It: 9400, Loss: 1.489e+01, Loss_u: 1.181e+01, Loss_r: 3.082e+00, Time: 0.04
It: 9500, Loss: 2.857e+00, Loss_u: 3.083e-01, Loss_r: 2.549e+00, Time: 0.04
It: 9600, Loss: 9.156e-01, Loss_u: 4.437e-01, Loss_r: 4.719e-01, Time: 0.04
It: 9700, Loss: 4.593e-01, Loss_u: 3.960e-02, Loss_r: 4.197e-01, Time: 0.05
It: 9800, Loss: 8.812e-01, Loss_u: 2.094e-01, Loss_r: 6.718e-01, Time: 0.04
It: 9900, Loss: 4.273e-01, Loss_u: 5.417e-02, Loss_r: 3.732e-01, Time: 0.04
It: 10000, Loss: 7.683e-01, Loss_u: 8.643e-02, Loss_r: 6.818e-01, Time: 0.04
constant_ics_val: 74.909
constant_bcs_val: 126.547
It: 10100, Loss: 1.700e+00, Loss_u: 3.058e-01, Loss_r: 1.394e+00, Time: 0.04
It: 10200, Loss: 4.115e-01, Loss_u: 1.041e-01, Loss_r: 3.074e-01, Time: 0.04
It: 10300, Loss: 7.460e-01, Loss_u: 2.342e-01, Loss_r: 5.119e-01, Time: 0.04
