It: 5600, Loss: 3.163e+01, Loss_bcs: 7.519e+00, Loss_res: 2.411e+01,Time: 0.01
It: 5700, Loss: 4.335e+01, Loss_bcs: 8.280e+00, Loss_res: 3.507e+01,Time: 0.01
It: 5800, Loss: 5.320e+01, Loss_bcs: 7.824e+00, Loss_res: 4.537e+01,Time: 0.00
It: 5900, Loss: 4.857e+01, Loss_bcs: 5.392e+00, Loss_res: 4.318e+01,Time: 0.01
It: 6000, Loss: 2.617e+01, Loss_bcs: 6.655e+00, Loss_res: 1.951e+01,Time: 0.00
It: 6100, Loss: 3.544e+01, Loss_bcs: 5.221e+00, Loss_res: 3.022e+01,Time: 0.00
It: 6200, Loss: 3.449e+01, Loss_bcs: 5.542e+00, Loss_res: 2.895e+01,Time: 0.01
It: 6300, Loss: 2.149e+01, Loss_bcs: 4.520e+00, Loss_res: 1.697e+01,Time: 0.00
It: 6400, Loss: 2.201e+01, Loss_bcs: 4.076e+00, Loss_res: 1.793e+01,Time: 0.01
It: 6500, Loss: 2.005e+01, Loss_bcs: 4.509e+00, Loss_res: 1.554e+01,Time: 0.01
It: 6600, Loss: 4.404e+01, Loss_bcs: 4.523e+00, Loss_res: 3.951e+01,Time: 0.01
It: 6700, Loss: 2.286e+01, Loss_bcs: 5.248e+00, Loss_res: 1.761e+01,Time: 0.01
It: 6800, Loss: 2.160e+01, Loss_bcs: 4.889e+00, Loss_res: 1.671e+01,Time: 0.00
It: 6900, Loss: 2.113e+01, Loss_bcs: 4.672e+00, Loss_res: 1.645e+01,Time: 0.00
It: 7000, Loss: 1.715e+01, Loss_bcs: 3.632e+00, Loss_res: 1.352e+01,Time: 0.01
It: 7100, Loss: 3.424e+01, Loss_bcs: 4.733e+00, Loss_res: 2.951e+01,Time: 0.01
It: 7200, Loss: 1.810e+01, Loss_bcs: 3.142e+00, Loss_res: 1.495e+01,Time: 0.01
It: 7300, Loss: 2.141e+01, Loss_bcs: 3.500e+00, Loss_res: 1.791e+01,Time: 0.01
It: 7400, Loss: 1.492e+01, Loss_bcs: 3.869e+00, Loss_res: 1.105e+01,Time: 0.00
It: 7500, Loss: 1.531e+01, Loss_bcs: 4.317e+00, Loss_res: 1.099e+01,Time: 0.01
It: 7600, Loss: 1.156e+01, Loss_bcs: 2.958e+00, Loss_res: 8.598e+00,Time: 0.00
It: 7700, Loss: 1.438e+01, Loss_bcs: 3.565e+00, Loss_res: 1.082e+01,Time: 0.01
It: 7800, Loss: 1.621e+01, Loss_bcs: 3.112e+00, Loss_res: 1.310e+01,Time: 0.01
It: 7900, Loss: 2.209e+01, Loss_bcs: 3.926e+00, Loss_res: 1.816e+01,Time: 0.01
It: 8000, Loss: 1.505e+01, Loss_bcs: 3.423e+00, Loss_res: 1.163e+01,Time: 0.01
It: 8100, Loss: 1.147e+01, Loss_bcs: 2.655e+00, Loss_res: 8.812e+00,Time: 0.01
It: 8200, Loss: 1.580e+01, Loss_bcs: 2.662e+00, Loss_res: 1.314e+01,Time: 0.01
It: 8300, Loss: 1.523e+01, Loss_bcs: 3.009e+00, Loss_res: 1.222e+01,Time: 0.00
It: 8400, Loss: 1.491e+01, Loss_bcs: 2.754e+00, Loss_res: 1.215e+01,Time: 0.01
It: 8500, Loss: 1.173e+01, Loss_bcs: 3.256e+00, Loss_res: 8.478e+00,Time: 0.01
It: 8600, Loss: 1.922e+01, Loss_bcs: 3.276e+00, Loss_res: 1.595e+01,Time: 0.01
It: 8700, Loss: 1.461e+01, Loss_bcs: 3.332e+00, Loss_res: 1.127e+01,Time: 0.00
It: 8800, Loss: 1.660e+01, Loss_bcs: 3.026e+00, Loss_res: 1.357e+01,Time: 0.01
It: 8900, Loss: 1.144e+01, Loss_bcs: 2.614e+00, Loss_res: 8.825e+00,Time: 0.00
It: 9000, Loss: 9.701e+00, Loss_bcs: 2.741e+00, Loss_res: 6.960e+00,Time: 0.01
It: 9100, Loss: 1.567e+01, Loss_bcs: 2.043e+00, Loss_res: 1.363e+01,Time: 0.01
It: 9200, Loss: 1.371e+01, Loss_bcs: 2.139e+00, Loss_res: 1.157e+01,Time: 0.01
It: 9300, Loss: 8.101e+00, Loss_bcs: 1.997e+00, Loss_res: 6.105e+00,Time: 0.01
It: 9400, Loss: 1.161e+01, Loss_bcs: 2.133e+00, Loss_res: 9.476e+00,Time: 0.01
It: 9500, Loss: 9.735e+00, Loss_bcs: 2.154e+00, Loss_res: 7.581e+00,Time: 0.01
It: 9600, Loss: 1.098e+01, Loss_bcs: 1.713e+00, Loss_res: 9.269e+00,Time: 0.01
It: 9700, Loss: 9.286e+00, Loss_bcs: 1.933e+00, Loss_res: 7.353e+00,Time: 0.01
It: 9800, Loss: 7.514e+00, Loss_bcs: 1.502e+00, Loss_res: 6.012e+00,Time: 0.01
It: 9900, Loss: 1.530e+01, Loss_bcs: 1.957e+00, Loss_res: 1.334e+01,Time: 0.00
It: 10000, Loss: 1.164e+01, Loss_bcs: 1.408e+00, Loss_res: 1.023e+01,Time: 0.01
adaptive_constant_val: 3086.750075
It: 10100, Loss: 8.274e+00, Loss_bcs: 2.692e+00, Loss_res: 5.581e+00,Time: 0.01
It: 10200, Loss: 1.120e+01, Loss_bcs: 1.114e+00, Loss_res: 1.009e+01,Time: 0.01
It: 10300, Loss: 7.023e+00, Loss_bcs: 1.551e+00, Loss_res: 5.472e+00,Time: 0.00
It: 10400, Loss: 6.340e+00, Loss_bcs: 1.961e+00, Loss_res: 4.378e+00,Time: 0.01
